Date,TMean,TMax,TMin,TMinLand,PrecMean,V,CloudMean,WindMean,WindMean10,WindMean15,PressSea,PressStation,PrecSum,PrecDay,PrecNight,SnowHeight,SnowWater,Sun,RainTime,SnowTime,RainSnowTime,FogTime,DewTime,FrostTime,StormTime
2018-09-24,9.0,14.2,7.7,6.3,76.4,8.7,6.8,5.6,0.0,0.0,1020.4,1005.6,1.6,1.6,0.0,,0.0,5.2,3.8,,,,,,
2018-09-25,8.3,13.4,4.8,3.9,73.0,7.8,3.4,3.4,0.0,0.0,1034.7,1019.6,0.0,0.0,0.0,,0.0,8.3,0.2,,,,5.0,,
2018-09-26,9.7,16.3,0.4,1.3,58.3,6.5,5.5,3.1,0.0,0.0,1034.7,1019.6,0.0,0.0,0.0,,0.0,8.1,,,,,2.0,4.0,
2018-09-27,15.6,20.8,11.0,8.7,61.6,11.0,5.6,3.9,0.0,0.0,1026.7,1012.1,0.0,0.0,0.0,,0.0,3.8,,,,,3.0,,
2018-09-28,13.1,19.4,7.3,5.0,70.0,10.5,3.8,1.9,0.0,0.0,1020.1,1005.4,0.0,0.0,0.0,,0.0,6.8,0.4,,,,7.5,,
2018-09-29,8.4,14.7,3.6,2.2,67.9,7.2,1.6,1.4,0.0,0.0,1027.7,1012.7,0.0,0.0,0.0,,0.0,9.5,,,,,12.0,,
2018-09-30,9.2,17.9,0.6,1.2,63.1,6.8,1.3,2.5,0.0,0.0,1020.5,1005.6,0.0,0.0,0.0,,0.0,11.3,,,,,6.0,4.0,
2018-10-01,9.7,17.6,1.4,1.8,67.9,7.9,3.8,2.9,0.0,0.0,1012.0,997.3,0.0,0.0,0.0,,0.0,7.8,1.6,,,,,6.5,
2018-10-02,9.9,12.9,7.6,7.1,67.9,8.1,7.4,5.4,0.0,0.0,1015.9,1001.1,0.8,0.0,0.8,,0.0,3.1,3.3,,,,,,
2018-10-03,10.3,14.7,8.4,7.7,75.9,9.4,6.0,5.9,2.8,0.0,1016.5,1001.8,1.2,1.2,0.0,,0.0,4.3,2.3,,,,,,
2018-10-04,10.2,15.3,6.4,5.0,74.1,9.0,4.3,2.9,0.0,0.0,1026.5,1011.6,0.0,0.0,0.0,,0.0,7.5,,,,,13.0,,
2018-10-05,12.0,20.2,3.2,0.2,67.8,9.1,0.4,2.8,0.0,0.0,1024.5,1009.7,0.0,0.0,0.0,,0.0,10.8,,,,,9.0,,
2018-10-06,14.9,21.9,7.8,5.6,58.1,9.5,3.6,2.8,0.0,0.0,1014.4,999.9,0.0,0.0,0.0,,0.0,10.3,,,,,11.0,,
2018-10-07,14.0,22.5,7.1,4.2,72.0,11.4,5.6,2.1,0.0,0.0,1014.5,1000.0,0.0,0.0,0.0,,0.0,7.5,,,,0.9,5.8,,
2018-10-08,10.5,15.5,6.8,3.6,74.6,9.3,5.5,2.3,0.0,0.0,1023.9,1009.0,0.0,0.0,0.0,,0.0,6.8,,,,,10.0,,
2018-10-09,11.8,20.8,2.8,0.4,76.4,10.5,5.5,1.3,0.0,0.0,1024.4,1009.6,0.0,0.0,0.0,,0.0,9.5,,,,1.7,8.8,,
2018-10-10,14.3,23.3,5.1,2.7,75.9,12.0,2.0,2.5,0.0,0.0,1024.8,1010.1,0.0,0.0,0.0,,0.0,10.1,,,,4.5,2.1,,
2018-10-11,15.9,24.9,8.8,6.0,68.3,11.7,1.4,4.5,0.0,0.0,1022.9,1008.4,0.0,0.0,0.0,,0.0,10.3,,,,,10.0,,
2018-10-12,15.5,24.8,5.4,3.4,68.8,11.5,0.1,3.4,0.0,0.0,1025.5,1010.9,0.0,0.0,0.0,,0.0,10.1,,,,1.5,5.4,,
2018-10-13,14.9,23.8,6.8,2.2,67.6,11.0,0.0,3.1,0.0,0.0,1026.7,1012.0,0.0,0.0,0.0,,0.0,10.1,,,,,11.0,,
2018-10-14,15.0,25.3,7.9,2.8,62.4,10.0,0.0,4.6,0.5,0.0,1021.4,1006.8,0.0,0.0,0.0,,0.0,10.2,,,,,10.0,,
2018-10-15,14.7,23.6,8.3,3.0,54.9,8.6,1.1,3.3,0.0,0.0,1019.8,1005.3,0.0,0.0,0.0,,0.0,9.5,,,,,7.0,,
2018-10-16,14.7,23.2,6.1,3.6,55.1,8.9,1.0,3.0,0.0,0.0,1019.8,1005.2,0.0,0.0,0.0,,0.0,9.4,,,,,4.0,,
2018-10-17,13.3,22.0,5.6,3.3,65.5,9.6,2.6,1.8,0.0,0.0,1020.3,1005.7,0.0,0.0,0.0,,0.0,9.5,,,,1.1,10.6,,
2018-10-18,11.8,20.2,4.5,1.8,77.1,10.4,0.5,1.4,0.0,0.0,1020.0,1005.3,0.0,0.0,0.0,,0.0,9.1,,,,4.1,5.0,,
2018-10-19,11.8,13.6,9.3,7.0,91.3,12.6,7.1,1.4,0.0,0.0,1024.0,1009.2,0.2,0.0,0.2,,0.0,0.0,2.1,,,3.7,1.9,,
2018-10-20,10.3,13.0,7.5,5.9,76.9,9.8,7.4,2.6,0.0,0.0,1026.9,1012.0,0.1,0.0,0.1,,0.0,1.5,0.9,,,1.6,,,
2018-10-21,7.7,12.5,6.1,0.8,78.8,8.2,4.5,1.1,0.0,0.0,1029.0,1013.9,0.0,0.0,0.0,,0.0,3.2,0.8,,,3.3,2.7,,
2018-10-22,6.3,14.7,1.9,3.4,82.0,7.9,3.5,1.8,0.0,0.0,1027.1,1012.0,0.5,0.5,0.0,,0.0,5.3,2.7,,,7.1,,,
2018-10-23,7.9,9.8,3.4,2.1,83.9,9.0,7.0,7.1,5.8,0.0,1015.1,1000.3,10.2,2.2,8.0,,0.0,0.0,11.4,,,,,,
2018-10-24,8.3,11.1,6.3,4.8,66.9,7.3,3.5,4.4,0.0,0.0,1010.0,995.3,0.8,0.0,0.8,,0.0,7.8,1.2,,,,4.0,,
2018-10-25,9.8,13.3,2.5,1.1,84.1,10.3,6.8,5.8,0.3,0.0,1010.6,995.9,1.0,1.0,0.0,,0.0,0.6,7.9,,,,2.6,,
2018-10-26,9.6,12.3,7.0,4.4,73.8,8.7,7.0,3.0,0.0,0.0,1008.8,994.1,0.0,0.0,0.0,,0.0,1.1,,,,,6.0,,
2018-10-27,7.7,11.0,5.2,3.1,74.8,7.8,7.8,2.6,0.0,0.0,1006.6,991.8,0.0,0.0,0.0,,0.0,0.0,1.1,,,,10.0,,
2018-10-28,5.1,6.7,4.5,3.9,88.0,7.7,8.0,2.8,0.0,0.0,1012.9,997.9,18.8,12.5,6.3,,0.0,0.0,17.5,,,,6.5,,
2018-10-29,6.3,8.3,4.3,4.1,93.9,9.0,7.3,3.1,0.0,0.0,1007.7,992.8,0.0,0.0,0.0,,0.0,0.0,6.2,,,1.5,,,
2018-10-30,17.2,20.4,8.2,8.0,58.1,11.4,4.6,8.8,8.7,0.0,1001.1,987.0,0.0,0.0,0.0,,0.0,4.5,0.5,,,,,,
2018-10-31,11.1,16.6,4.5,1.8,63.5,8.2,2.1,2.4,0.0,0.0,1019.3,1004.6,0.0,0.0,0.0,,0.0,9.1,,,,,12.0,,
2018-11-01,14.2,19.3,6.5,2.2,62.4,9.9,5.8,5.9,0.8,0.0,1016.2,1001.7,0.0,0.0,0.0,,0.0,7.1,1.0,,,,7.0,,
2018-11-02,12.8,17.9,5.7,3.0,68.8,9.9,6.9,1.3,0.0,0.0,1022.0,1007.3,9.5,0.0,9.5,,0.0,7.3,0.8,,,,3.0,,
2018-11-03,10.1,12.8,9.2,8.9,91.9,11.4,8.0,1.5,0.0,0.0,1028.4,1013.5,2.3,2.3,0.0,,0.0,0.0,15.7,,,,,,
2018-11-04,10.6,11.6,9.5,9.3,93.3,11.9,8.0,4.9,0.0,0.0,1022.8,1008.0,0.0,0.0,0.0,,0.0,0.0,6.5,,,,,,
2018-11-05,11.7,17.0,8.3,7.2,80.6,11.0,6.8,5.0,0.0,0.0,1017.0,1002.3,0.0,0.0,0.0,,0.0,7.1,,,,,14.0,,
2018-11-06,12.7,19.8,6.5,3.0,69.6,10.1,0.9,3.8,0.0,0.0,1015.3,1000.7,0.0,0.0,0.0,,0.0,8.8,,,,,12.0,,
2018-11-07,12.8,17.9,6.4,3.6,68.1,10.1,2.9,5.3,0.0,0.0,1014.7,1000.1,0.0,0.0,0.0,,0.0,7.9,,,,,11.0,,
2018-11-08,8.9,15.0,2.9,1.7,85.9,9.8,5.5,1.5,0.0,0.0,1020.5,1005.6,0.0,0.0,0.0,,0.0,4.8,,,,3.6,10.6,,
2018-11-09,7.8,11.5,2.9,2.3,92.9,9.9,6.0,1.4,0.0,0.0,1019.2,1004.3,0.0,0.0,0.0,,0.0,0.7,,,,10.2,6.2,,
2018-11-10,8.5,14.9,2.9,2.5,84.5,9.3,3.5,2.9,0.0,0.0,1014.1,999.3,0.0,0.0,0.0,,0.0,8.0,,,,7.2,7.0,,
2018-11-11,7.6,13.6,1.3,1.3,86.3,9.0,1.9,1.8,0.0,0.0,1015.4,1000.5,0.0,0.0,0.0,,0.0,4.6,,,,0.6,11.4,,
2018-11-12,9.5,18.5,2.8,0.6,84.9,10.1,2.3,2.8,0.0,0.0,1021.0,1006.1,0.0,0.0,0.0,,0.0,8.1,,,,0.2,15.5,,
2018-11-13,10.7,16.4,5.3,2.3,85.9,11.0,7.1,2.9,0.0,0.0,1023.1,1008.3,0.6,0.6,0.0,,0.0,3.4,3.6,,,,,,
2018-11-14,8.8,12.0,6.4,4.9,81.0,9.1,5.8,4.0,0.0,0.0,1029.8,1014.8,0.0,0.0,0.0,,0.0,5.7,,,,,7.0,,
2018-11-15,5.5,10.0,0.4,2.1,83.6,7.5,6.1,2.0,0.0,0.0,1032.5,1017.3,0.0,0.0,0.0,,0.0,1.6,,,,3.0,5.5,,
2018-11-16,4.9,8.5,0.6,3.0,77.9,6.7,5.0,3.9,0.0,0.0,1036.3,1020.9,0.0,0.0,0.0,,0.0,0.0,,,,,7.0,4.0,
2018-11-17,1.5,5.9,0.6,2.8,72.8,4.9,1.3,2.9,0.0,0.0,1038.5,1023.0,0.0,0.0,0.0,,0.0,8.2,,,,0.5,2.0,10.3,
