Date,TMean,TMax,TMin,TMinLand,PrecMean,V,CloudMean,WindMean,WindMean10,WindMean15,PressSea,PressStation,PrecSum,PrecDay,PrecNight,SnowHeight,SnowWater,Sun,RainTime,SnowTime,RainSnowTime,FogTime,DewTime,FrostTime,StormTime,PM2.5Mean
2019-04-01,6.0,11.3,2.0,4.8,47.4,4.2,0.8,4.3,0.0,0.0,1026.9,1011.8,0.0,0.0,0.0,,0.0,12.3,,,,,,4.0,,11.21
2019-04-02,8.7,16.5,0.9,0.9,45.9,5.1,2.1,6.4,0.5,0.0,1017.3,1002.4,0.0,0.0,0.0,,0.0,11.7,,,,,,,,21.06
2019-04-03,13.0,20.9,4.9,1.9,47.8,6.9,5.9,6.4,4.1,0.0,1007.3,992.8,0.0,0.0,0.0,,0.0,9.5,,,,,4.0,,,30.51
2019-04-04,15.3,21.0,9.3,6.6,43.3,7.4,2.6,7.9,7.5,0.0,1002.7,988.4,0.0,0.0,0.0,,0.0,10.9,,,,,,,,22.39
2019-04-05,16.0,21.9,7.8,3.5,45.5,8.0,4.1,4.1,0.0,0.0,1005.4,991.2,0.0,0.0,0.0,,0.0,8.7,,,,,3.0,,,24.86
2019-04-06,13.0,18.5,8.1,3.0,57.8,8.5,2.8,2.9,0.0,0.0,1007.7,993.2,0.0,0.0,0.0,,0.0,10.4,,,,,6.0,,,30.51
2019-04-07,11.1,18.1,2.6,0.4,69.3,8.8,0.6,0.6,0.0,0.0,1008.1,993.5,0.0,0.0,0.0,,0.0,10.4,,,,1.4,15.0,,,33.85
2019-04-08,11.7,19.3,1.4,0.3,61.5,7.8,1.4,1.3,0.0,0.0,1009.0,994.5,0.0,0.0,0.0,,0.0,10.6,,,,,8.0,,,45.68
2019-04-09,8.0,16.6,3.8,0.7,65.8,7.0,3.4,2.6,0.0,0.0,1012.7,997.9,0.0,0.0,0.0,,0.0,10.9,,,,,6.0,,,29.49
2019-04-10,5.8,7.9,3.9,3.7,50.5,4.7,7.6,3.5,0.0,0.0,1016.6,1001.6,0.0,0.0,0.0,,0.0,0.0,,,,,,,,16.21
2019-04-11,4.7,7.3,1.3,1.5,52.4,4.4,7.0,3.5,0.0,0.0,1022.0,1006.9,0.0,0.0,0.0,,0.0,2.5,,,,,,,,16.51
2019-04-12,4.5,6.6,2.4,2.0,57.9,4.8,7.4,2.9,0.0,0.0,1023.9,1008.7,0.0,0.0,0.0,,0.0,0.0,,,,,,,,20.13
2019-04-13,4.1,6.9,2.0,0.2,69.5,5.7,7.6,2.3,0.0,0.0,1022.8,1007.6,7.0,2.8,4.2,,0.0,0.3,10.8,,,,,,,24.21
